SL No.,Ayurveda Term,Sentence where it appears,Classification
650,Vata,"[16-
19] 
Indications for sweating therapy: 
प्रततश्याये च कासे च हहक्तकाश्वासेष्िलार्िे|  
कणघमवयासशरःशूले स्िरभेदे गलग्रहे||२०||  
अहदघतैकाङ्गसिाघङ्गपिार्ाते विनामके|  
कोष्ठानाहविबवधेिु मूत्रार्ाते विजृम्भके||२१||  
पाश्वघपृष्ठकटीकुक्षिसङ्ग्रहे गृध्रसीिु च|  
मूत्रकृच्रे महत्त्िे च मुष्कयोरङ्गमदघके||२२||  
पादजानूरुजङ्र्ाततघसङ्ग्रहे श्वयथािवप|  
िल्लीष्िामेिु शीते च िेपथौ िातकण्टके||२३||  
सङ्कोचायामशूलेिु स्तम्भगौरिसुतप्तिु |  
सिाघङ्गेिु विकारेिु स्िेदनं हहतमुच्यते||२४|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 534 
 
pratiśyāye ca kāse ca hikkāśvāseṣvalāghave|  
karṇamanyāśiraḥśūle svarabhede galagrahe||20||  
arditaikāṅgasarvāṅgapakṣāghāte vināmake|  
koṣṭhānāhavibandheṣu mūtrāghāte vijṛmbhake||21||  
pārśvapṛṣṭhakaṭīkukṣisaṅgrahe gṛdhrasīṣu ca|  
mūtrakṛcchre mahattve ca muṣkayoraṅgamardake||22||  
pādajānūrujaṅghārtisaṅgrahe śvayathāvapi|  
khallīṣvāmeṣu śīte ca vepathau vātakaṇṭake||23||  
saṅkocāyāmaśūleṣu stambhagauravasuptiṣu |  
sarvāṅgeṣu vikāreṣu svedanaṃ hitamucyate||24|| 
Indications for sweating therapy: 
Fomentation is useful for 
Pratisyaya (coryza) – running nose, 
Kasa – cough, cold, 
Hikka – hiccup, 
Shwasa – dyspnea, asthma, 
Alaghava – heaviness of the body, 
Karna, Manya Shira Shula – pain in the ear, neck and head, 
Svarabheda – hoarseness of voice, 
Galagraha –  obstruction in the throat, 
Ardita – facial paralysis, 
Ekanga Sarvanga Pakshaghata – paralysis of one limb, whole body or half 
of the body, 
Vinamaka – bending of the body, 
Anaha, Vibandha – bloating, constipation, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 535 
 
Mutraghata – dysuria, urinary obstruction, 
Vijrumbhaka – Pendiculation, excessive yawning, 
Parshva Prushta Kati Kukshi sangraha  – stiffness of sides, back, waists and 
abdomen, 
Grudhrasi – sciatica, 
Mutrakrichra – dysuria, 
enragement of scrotum, malaise, 
pain and stiffness of feet, knee, calf, oedema, 
Khalli – spondylosis, 
Ama – diseases due to impaired digestion and metabolism, 
in chills and shivering, 
affliction of the ankle joint by Vata (Vata Kantaka), 
in contraction, extension or colic pain, stiffness, excessive heaviness, 
numbness an in diseases affecting the whole body.[20-24] 
Pinda Sveda: 
ततलमािकुलत्थाम्लर्ृततैलासमिौदनैः|  
पायसैः कृशरैमांसैः वपण्डस्िेदं प्रयोजयेत्||२५||  
गोिरोष्ट्रिराहाश्वशकृतद्भः सतुिैयघिैः|  
ससकतापांशुपािाणकरीिायसपूटकैः||२६||  
श्लैन्ष्मकान् स्िेदयेत् पूिैिाघततकान् समुपाचरेत्|  
रव्याण्येतातन शस्यवते यथास्िं प्रस्तरेष्िवप||२७|| 
tilamāṣakulatthāmlaghṛtatailāmiṣaudanaiḥ|  
pāyasaiḥ kṛśarairmāṃsaiḥ piṇḍasvedaṃ prayojayet||25||  
gokharoṣṭravarāhāśvaśakṛdbhiḥ satuṣairyavaiḥ|  
sikatāpāṃśupāṣāṇakarīṣāyasapūṭakaiḥ||26|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 536 
 
ślaiṣmikān svedayet pūrvairvātikān samupācaret|  
dravyāṇyetāni śasyante yathāsvaṃ prastareṣvapi||27|| 
tilamāṣakulatthāmlaghṛtatailāmiṣaudanaiḥ|  
pāyasaiḥ kṛśarairmāṃsaiḥ piṇḍasvedaṃ prayojayet||25||  
gokharoṣṭravarāhāśvaśakṛdbhiḥ satuṣairyavaiḥ|  
sikatāpāṃśupāṣāṇakarīṣāyasapūṭakaiḥ||26||  
ślaiṣmikān svedayet pūrvairvātikān samupācaret|  
dravyāṇyetāni śasyante yathāsvaṃ prastareṣvapi||27|| 
Pinda means bolus, in Pinda sweda, a bolus or paste is prepared and used 
as source of heat to induce sweating.",Symptom
651,Svedana,"[16-
19] 
Indications for sweating therapy: 
प्रततश्याये च कासे च हहक्तकाश्वासेष्िलार्िे|  
कणघमवयासशरःशूले स्िरभेदे गलग्रहे||२०||  
अहदघतैकाङ्गसिाघङ्गपिार्ाते विनामके|  
कोष्ठानाहविबवधेिु मूत्रार्ाते विजृम्भके||२१||  
पाश्वघपृष्ठकटीकुक्षिसङ्ग्रहे गृध्रसीिु च|  
मूत्रकृच्रे महत्त्िे च मुष्कयोरङ्गमदघके||२२||  
पादजानूरुजङ्र्ाततघसङ्ग्रहे श्वयथािवप|  
िल्लीष्िामेिु शीते च िेपथौ िातकण्टके||२३||  
सङ्कोचायामशूलेिु स्तम्भगौरिसुतप्तिु |  
सिाघङ्गेिु विकारेिु स्िेदनं हहतमुच्यते||२४|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 534 
 
pratiśyāye ca kāse ca hikkāśvāseṣvalāghave|  
karṇamanyāśiraḥśūle svarabhede galagrahe||20||  
arditaikāṅgasarvāṅgapakṣāghāte vināmake|  
koṣṭhānāhavibandheṣu mūtrāghāte vijṛmbhake||21||  
pārśvapṛṣṭhakaṭīkukṣisaṅgrahe gṛdhrasīṣu ca|  
mūtrakṛcchre mahattve ca muṣkayoraṅgamardake||22||  
pādajānūrujaṅghārtisaṅgrahe śvayathāvapi|  
khallīṣvāmeṣu śīte ca vepathau vātakaṇṭake||23||  
saṅkocāyāmaśūleṣu stambhagauravasuptiṣu |  
sarvāṅgeṣu vikāreṣu svedanaṃ hitamucyate||24|| 
Indications for sweating therapy: 
Fomentation is useful for 
Pratisyaya (coryza) – running nose, 
Kasa – cough, cold, 
Hikka – hiccup, 
Shwasa – dyspnea, asthma, 
Alaghava – heaviness of the body, 
Karna, Manya Shira Shula – pain in the ear, neck and head, 
Svarabheda – hoarseness of voice, 
Galagraha –  obstruction in the throat, 
Ardita – facial paralysis, 
Ekanga Sarvanga Pakshaghata – paralysis of one limb, whole body or half 
of the body, 
Vinamaka – bending of the body, 
Anaha, Vibandha – bloating, constipation, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 535 
 
Mutraghata – dysuria, urinary obstruction, 
Vijrumbhaka – Pendiculation, excessive yawning, 
Parshva Prushta Kati Kukshi sangraha  – stiffness of sides, back, waists and 
abdomen, 
Grudhrasi – sciatica, 
Mutrakrichra – dysuria, 
enragement of scrotum, malaise, 
pain and stiffness of feet, knee, calf, oedema, 
Khalli – spondylosis, 
Ama – diseases due to impaired digestion and metabolism, 
in chills and shivering, 
affliction of the ankle joint by Vata (Vata Kantaka), 
in contraction, extension or colic pain, stiffness, excessive heaviness, 
numbness an in diseases affecting the whole body.[20-24] 
Pinda Sveda: 
ततलमािकुलत्थाम्लर्ृततैलासमिौदनैः|  
पायसैः कृशरैमांसैः वपण्डस्िेदं प्रयोजयेत्||२५||  
गोिरोष्ट्रिराहाश्वशकृतद्भः सतुिैयघिैः|  
ससकतापांशुपािाणकरीिायसपूटकैः||२६||  
श्लैन्ष्मकान् स्िेदयेत् पूिैिाघततकान् समुपाचरेत्|  
रव्याण्येतातन शस्यवते यथास्िं प्रस्तरेष्िवप||२७|| 
tilamāṣakulatthāmlaghṛtatailāmiṣaudanaiḥ|  
pāyasaiḥ kṛśarairmāṃsaiḥ piṇḍasvedaṃ prayojayet||25||  
gokharoṣṭravarāhāśvaśakṛdbhiḥ satuṣairyavaiḥ|  
sikatāpāṃśupāṣāṇakarīṣāyasapūṭakaiḥ||26|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 536 
 
ślaiṣmikān svedayet pūrvairvātikān samupācaret|  
dravyāṇyetāni śasyante yathāsvaṃ prastareṣvapi||27|| 
tilamāṣakulatthāmlaghṛtatailāmiṣaudanaiḥ|  
pāyasaiḥ kṛśarairmāṃsaiḥ piṇḍasvedaṃ prayojayet||25||  
gokharoṣṭravarāhāśvaśakṛdbhiḥ satuṣairyavaiḥ|  
sikatāpāṃśupāṣāṇakarīṣāyasapūṭakaiḥ||26||  
ślaiṣmikān svedayet pūrvairvātikān samupācaret|  
dravyāṇyetāni śasyante yathāsvaṃ prastareṣvapi||27|| 
Pinda means bolus, in Pinda sweda, a bolus or paste is prepared and used 
as source of heat to induce sweating.",Treatment
652,Vata,"One should prepare a bolus for fomentation with Tila – Sesame (Sesamum 
indium), Masha – black gram, Kulattha – horse gram, sour preparations, 
ghee, oil, meat porridge, Payasa (milk preparations), and flesh- this is 
indicated for Vata imbalance disorders.",Symptom
653,Kapha,"Faeces of cow, ass, camel, pig and horse along with the barley grains with 
chaff, sand, dust, stone dried cow-dung and iron powder in a bolus from is 
useful for fomentation in diseases of Kapha imbalance.",Symptom
654,Vata,"For Vata disorders - The steam is generated by  by boiling the flesh of 
domestic, marshy and aquatic animals, milk, head of goat, blood, bile and 
the flesh of middle part of pig, unctuous substances like castor seeds, 
sesame seeds and rice.",Symptom
655,Kapha,"For Kapha disorders, the steam is generated by boiling leaves of Varuna 
(Ccrataeva religiosa Frorst), Amritaka – Giloya, Eranda – castor root, Shigru 
(Moringa oleifera Lam), Mulaka – radish, Sarshapa – mustard, Vasa Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 538 
 
(Adhatada Vasica Neess, Vamsha(Bambusa arundinacea Retz), Karanja 
(Pongamia pinnata), Arka – Calotropis gigantea, Ashmantaka (Bauhinia 
Racemosa Lam), Shobhanjana (seed of moringa), Saireya (Barleria prionitis 
Linn), Malati (Jasminus Grandiflorum), Surasa – Tulsi and Arjaka(Ocimum 
Gratissimum Linn).",Symptom
656,Vata,"For Vata-Kaphaja disorders, Nadi Sveda should be given by boiling 
Bhutika (Trachyspermum Ammi Spreague), Panchamula(roots of Aegle 
Marmelos Corr, Oroxylum indicum Vent, Gmelina arborea Linn 
Stereospermum Suaveolens DC.",Symptom
657,Kapha,"For Vata-Kaphaja disorders, Nadi Sveda should be given by boiling 
Bhutika (Trachyspermum Ammi Spreague), Panchamula(roots of Aegle 
Marmelos Corr, Oroxylum indicum Vent, Gmelina arborea Linn 
Stereospermum Suaveolens DC.",Symptom
658,Svedana,"They are described below.[39-40] 
Sankara Sveda:  
तत्र िस्त्रावतररतैरिस्त्रावतररतैिाघ वपण्डैयघथोक्तैरुपस्िेदनं सङ्करस्िेद इतत वियात्||४१|| 
tatra vastrāntaritairavastrāntaritairvā piṇḍairyathoktairupasvedanaṃ 
saṅkarasveda iti vidyāt||41|| 
Sankara Sveda: Fomentation by means of bolus containing prescribed 
drugs with or without being wrapped with cloths.[41] 
Prastara Sveda: – bed fomentation 
शूकशमीधावयपुलाकानां िेशिारपायसकृशरोत्काररकादीनां िा प्रस्तरे 
कौशेयाविकोत्तरप्रच्छदेपञ्चाङ्गुलोरुबूकाकघपत्रप्रच्छदे िा स्िभयक्तसिघगात्रस्य 
शयानस्योपस्िेदनं प्रस्तरस्िेद इतत वियात्||४२|| 
śūkaśamīdhānyapulākānāṃ veśavārapāyasakṛśarotkārikādīnāṃ vā prastare 
kauśeyāvikottarapracchadepañcāṅgulorubūkārkapatrapracchade vā 
svabhyaktasarvagātrasya śayānasyopasvedanaṃ prastarasveda iti 
vidyāt||42|| 
Prastara Sveda: – bed fomentation 
A   bed is to be prepared of the size of the individual with corn,  pulse and 
Pulaka (an inferior type of grain) or vesavara (a preparation of meat 
without bones together with long-pepper, black peppar, ginger, sugar-
candy and ghee), Payasa (sweet milk preparation), Krushara (thick gruel), Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 542 
 
Utkarika (pudding), etc.",Treatment
659,Svedana,"This process is 
known as Prastara Sveda.[42] 
Nadi Sveda – Tube fomentation: 
स्िेदनरव्याणां पुनमूघलफलपत्रशुङ्गादीनां मृगशकुनवपसशतसशरस्पदादीनामुष्णस्िभािानां 
िा यथाहघमम्ललिणस्नेहोपसंहहतानां मूत्रिीरादीनां िा कुम्भयां 
बाष्पमनुद्वमवत्यामुत्क्तिगथतानां नाड्भया शरेिीकािंशदलकरञ्जाकघपत्रावयतमकृतया 
गजाग्रहस्तसंस्थानया व्यामदीर्घया व्यामाधघदीर्घया िा 
व्यामचतुभाघगाष्भागमूलाग्रपररणाहस्रोतसा सिघतो िातहरपत्रसंिृतन्च्छरया हद्वन्स्त्रिाघ 
विनासमतया िातहरससद्धस्नेहाभयक्तगात्रो बाष्पमुपहरेत्; बाष्पो ह्यनृजुगामी 
विहतचण्डिेगस्त्िचमविदहन् सुिं स्िेदयतीतत नाडीस्िेदः||४३|| 
svedanadravyāṇāṃ punarmūlaphalapatraśuṅgādīnāṃ 
mṛgaśakunapiśitaśiraspadādīnāmuṣṇasvabhāvānāṃ vā 
yathārhamamlalavaṇasnehopasaṃhitānāṃ mūtrakṣīrādīnāṃ vā kumbhyāṃ 
bāṣpamanudvamantyāmutkvathitānāṃ nāḍyā 
śareṣīkāvaṃśadalakarañjārkapatrānyatamakṛtayā 
gajāgrahastasaṃsthānayā vyāmadīrghayā vyāmārdhadīrghayā vā 
vyāmacaturbhāgāṣṭabhāgamūlāgrapariṇāhasrotasā sarvato 
vātaharapatrasaṃvṛtacchidrayā dvistrirvā vināmitayā 
vātaharasiddhasnehābhyaktagātro bāṣpamupaharet; bāṣpo hyanṛjugāmī 
vihatacaṇḍavegastvacamavidahan sukhaṃ svedayatīti nāḍīsvedaḥ||43|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 543 
 
 
Nadi Sveda – Tube fomentation: 
Drugs for fomentation like roots, fruits,  leaves, buds etc or flesh and head.",Treatment
660,Vata,"All the clefts in 
the pipe should be well covered with the leaves that alleviate Vata(like 
castor Leaves, dashamoola etc).",Symptom
661,Vata,"The individual well massaged with unctuous substances that 
alleviate Vata should get this vapour through the curved pipe.",Symptom
662,Vata,"of drugs which can cure Vata /Vata-Kapha diseases where Vata is 
predominant.",Symptom
663,Kapha,"of drugs which can cure Vata /Vata-Kapha diseases where Vata is 
predominant.",Symptom
664,Vata,"[44] 
Avagaha: tub fomentation 
िातहरोत्क्तिाथिीरतैलर्ृतवपसशतरसोष्णससललकोष्ठकािगाहस्तु यथोक्त एिािगाहः||४५|| 
vātaharotkvāthakṣīratailaghṛtapiśitarasoṣṇasalilakoṣṭhakāvagāhastu 
yathokta evāvagāhaḥ||45|| 
A tub should be filled up with Kashaya, milk, oil, ghee, meat juice or hot 
water that balances Vata and the patient should take bath in it.",Symptom
665,Vata,"[45] 
Jentaka Sveda – fomentation in a house-  
अथ जेवताकं गचकीिुघभूघसमं परीिेत- तत्र पूिघस्यां हदश्युत्तरस्यां िा गुणितत प्रशस्ते 
भूसमभागे कृष्णमधुरमृवत्तके सुिणघमृवत्तके िा परीिापपुष्कररण्यादीनां 
जलाशयानामवयतमस्य कूले दक्षिणे पन्श्चमे िा सूपतीथे समसुविभक्तभूसमभागे सप्ताष्ौ 
िाऽरत्नीरुपक्रम्योदकात् प्राङ्मुिमुदङ्मुिं िाऽसभमुितीथं कूटागारं कारयेत्, 
उत्सेधविस्तारतः परमरत्नीः िोडश, समवतात् सुिृत्तं मृत्कमघसम्पवनमनेकिातायनम्; 
अस्य कूटागारस्यावतः समवततो सभवत्तमरसत्नविस्तारोत्सेधां वपन्ण्डकां कारयेदाकपाटात्, 
मध्ये चास्य कूटागारस्य चतुन्ष्कष्कुमात्रं पुरुिप्रमाणं मृवमयं कवदुसंस्थानं 
बहुसूक्ष्मन्च्छरमङ्गारकोष्ठकस्तम्भं सवपधानं कारयेत्; तं च िाहदराणामाश्वकणाघदीनां िा 
काष्ठानां पूरतयत्िा प्रदीपयेत्; स यदा जानीयात् साधु दनधातन काष्ठातन गतधूमावयितप्तं च Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 545 
 
केिलमन्ननना तदन्ननगृहं स्िेदयोनयेन चोष्मणा युक्तसमतत, तत्रैनं पुरुिं िातहराभयक्तगात्रं 
िस्त्रािच्छवनं प्रिेशयेत्, प्रिेशयंश्चैनमनुसशष्यात्- सौम्य! प्रविश कल्याणायारोनयाय चेतत, 
प्रविश्य चैनां वपन्ण्डकामगधरुह्य पाश्वाघपरपाश्वाघभयां यथासुिं शयीथाः, न च त्िया 
स्िेदमूच्छाघपरीतेनावप सता वपन्ण्डकैिा विमोक्तव्याऽऽप्राणोच््िासात्, भ्रश्यमानो ह्यतः 
वपन्ण्डिकािकाशाद्धद्वारमनगधगच्छन् स्िेदमूच्छाघपरीततया सयः प्राणाञ्जह्याः, तस्मात् 
वपन्ण्डकामेनां न कथञ्चन मुञ्चेथाः; त्िं यदा जानीयाः- विगतासभष्यवदमात्मानं 
सम्यक्तप्रस्रुतस्िेदवपच्छं सिघस्रोतोविमुक्तं 
लर्ूभूतमपगतविबवधस्तम्भसुतप्तिेदनागौरिसमतत, ततस्तां वपन्ण्डकामनुसरन् द्वारं 
प्रपयेथाः, तनष्क्रम्य च न सहसा चिुिोः पररपालनाथं शीतोदकमुपस्पृशेथाः, 
अपगतसवतापक्तलमस्तु मुहूताघत् सुिोष्णेन िाररणा यथावयायं पररविक्तोऽिीयाः; इतत 
जेवताकस्िेदः||४६|| 
atha jentākaṃ cikīrṣurbhūmiṃ parīkṣeta- tatra pūrvasyāṃ diśyuttarasyāṃ 
vā guṇavati praśaste bhūmibhāge kṛṣṇamadhuramṛttike suvarṇamṛttike vā 
parīvāpapuṣkariṇyādīnāṃ jalāśayānāmanyatamasya kūle dakṣiṇe paścime 
vā sūpatīrthe samasuvibhaktabhūmibhāge saptāṣṭau 
vā'ratnīrupakramyodakāt prāṅmukhamudaṅmukhaṃ vā'bhimukhatīrthaṃ 
kūṭāgāraṃ kārayet, utsedhavistārataḥ paramaratnīḥ ṣoḍaśa, samantāt 
suvṛttaṃ mṛtkarmasampannamanekavātāyanam; asya kūṭāgārasyāntaḥ 
samantato bhittimaratnivistārotsedhāṃ piṇḍikāṃ kārayedākapāṭāt, madhye 
cāsya kūṭāgārasya catuṣkiṣkumātraṃ puruṣapramāṇaṃ mṛnmayaṃ 
kandusaṃsthānaṃ bahusūkṣmacchidramaṅgārakoṣṭhakastambhaṃ 
sapidhānaṃ kārayet; taṃ ca khādirāṇāmāśvakarṇādīnāṃ vā kāṣṭhānāṃ 
pūrayitvā pradīpayet; sa yadā jānīyāt sādhu dagdhāni kāṣṭhāni 
gatadhūmānyavataptaṃ ca kevalamagninā tadagnigṛhaṃ svedayogyena 
coṣmaṇā yuktamiti, tatrainaṃ puruṣaṃ vātaharābhyaktagātraṃ 
vastrāvacchannaṃ praveśayet, praveśayaṃścainamanuśiṣyāt- saumya! Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 546 
 
praviśa kalyāṇāyārogyāya ceti, praviśya caināṃ piṇḍikāmadhiruhya 
pārśvāparapārśvābhyāṃ yathāsukhaṃ śayīthāḥ, na ca tvayā 
svedamūrcchāparītenāpi satā piṇḍikaiṣā vimoktavyā''prāṇocchvāsāt, 
bhraśyamāno hyataḥ piṇḍivakāvakāśāddvāramanadhigacchan 
svedamūrcchāparītatayā sadyaḥ prāṇāñjahyāḥ, tasmāt piṇḍikāmenāṃ na 
kathañcana muñcethāḥ; tvaṃ yadā jānīyāḥ- vigatābhiṣyandamātmānaṃ 
samyakprasrutasvedapicchaṃ sarvasrotovimuktaṃ 
laghūbhūtamapagatavibandhastambhasuptivedanāgauravamiti, tatastāṃ 
piṇḍikāmanusaran dvāraṃ prapadyethāḥ, niṣkramya ca na sahasā 
cakṣuṣoḥ paripālanārthaṃ śītodakamupaspṛśethāḥ, 
apagatasantāpaklamastu muhūrtāt sukhoṣṇena vāriṇā yathānyāyaṃ 
pariṣikto'śnīyāḥ; iti jentākasvedaḥ||46|| 
Jentaka Sveda – fomentation in a house-  
One should construct  a circular building facing the east or north side 
having a pond in front, at a suitable place.",Symptom
